Layer,TB point,Hits
Y,369,{'LEF-8-5', 'LEF-8-4'}
Y,370,{'LEF-8-3', 'LEF-8-4'}
Y,371,{'LEF-8-3', 'LEF-8-2'}
Y,372,{'LEF-8-1', 'LEF-8-2'}
Y,373,{'LEF-8-1', 'LEF-6-1'}
Y,374,{'LEF-8-1', 'LEF-6-1'}
Y,375,{'LEF-6-2', 'LEF-6-1'}
Y,376,{'LEF-6-3', 'LEF-6-2'}
Y,377,{'LEF-6-3', 'LEF-6-4'}
Y,378,{'LEF-6-5', 'LEF-6-4'}
Y,379,{'LEF-6-5', 'LEF-6-4'}
Y,380,{'LEF-6-5', 'LEF-6-4'}
Y,381,{'LEF-6-3', 'LEF-6-4'}
Y,382,{'LEF-6-3', 'LEF-6-2'}
Y,383,{'LEF-6-2', 'LEF-6-1'}
Y,384,{'LEF-8-1', 'LEF-6-1'}
Y,385,{'LEF-8-1', 'LEF-8-2'}
Y,386,{'LEF-8-3', 'LEF-8-2'}
Y,387,{'LEF-8-3', 'LEF-8-4'}
Y,388,{'LEF-8-5', 'LEF-8-4'}
